Timestamp,Email address,Reg. No.,Age Group,Gender,Instagram,WhatsApp,YouTube,Snapchat,Phone Type,Average screen time per day,Time spent on most used apps (hrs),Do you feel you use your phone too much?,What do you mainly use your phone for?,Do notifications distract you?
2025-01-01 00:00:00,student1@example.com,REG202500001,18-20,Male,No,Yes,Yes,Yes,Android,2-4 hrs,7,Yes,Social Media,Yes
2025-01-01 00:05:00,student2@example.com,REG202500002,21-23,Male,Yes,Yes,No,Yes,iPhone,6-8 hrs,1,Yes,Gaming,No
2025-01-01 00:10:00,student3@example.com,REG202500003,24-26,Male,Yes,No,Yes,Yes,iPhone,2-4 hrs,6,No,Communication,No
2025-01-01 00:15:00,student4@example.com,REG202500004,18-20,Female,Yes,No,Yes,No,iPhone,4-6 hrs,2,Yes,Education,No
2025-01-01 00:20:00,student5@example.com,REG202500005,18-20,Male,Yes,No,No,No,iPhone,4-6 hrs,6,No,Education,No
2025-01-01 00:25:00,student6@example.com,REG202500006,18-20,Male,Yes,Yes,No,No,iPhone,4-6 hrs,6,Yes,Education,Yes
2025-01-01 00:30:00,student7@example.com,REG202500007,24-26,Female,No,Yes,Yes,No,Android,8+ hrs,7,No,Education,No
2025-01-01 00:35:00,student8@example.com,REG202500008,21-23,Male,No,No,No,No,Android,4-6 hrs,8,Yes,Social Media,Yes
2025-01-01 00:40:00,student9@example.com,REG202500009,21-23,Male,No,Yes,No,No,iPhone,6-8 hrs,1,Yes,Communication,No
2025-01-01 00:45:00,student10@example.com,REG202500010,24-26,Male,No,No,Yes,No,Android,6-8 hrs,3,Yes,Entertainment,Yes
2025-01-01 00:50:00,student11@example.com,REG202500011,21-23,Female,Yes,Yes,No,No,Android,2-4 hrs,6,No,Education,Yes
2025-01-01 00:55:00,student12@example.com,REG202500012,21-23,Male,Yes,No,Yes,Yes,Android,8+ hrs,3,No,Communication,No
2025-01-01 01:00:00,student13@example.com,REG202500013,21-23,Male,No,No,No,No,iPhone,2-4 hrs,4,Yes,Social Media,No
2025-01-01 01:05:00,student14@example.com,REG202500014,18-20,Male,Yes,Yes,Yes,Yes,Android,2-4 hrs,1,No,Social Media,Yes
2025-01-01 01:10:00,student15@example.com,REG202500015,24-26,Female,Yes,Yes,No,Yes,iPhone,8+ hrs,4,Yes,Social Media,No
2025-01-01 01:15:00,student16@example.com,REG202500016,24-26,Female,No,No,Yes,Yes,Android,8+ hrs,6,Yes,Education,Yes
2025-01-01 01:20:00,student17@example.com,REG202500017,21-23,Female,Yes,No,Yes,No,iPhone,4-6 hrs,2,No,Communication,Yes
2025-01-01 01:25:00,student18@example.com,REG202500018,18-20,Male,Yes,Yes,Yes,No,iPhone,8+ hrs,4,No,Social Media,Yes
2025-01-01 01:30:00,student19@example.com,REG202500019,27-30,Male,No,No,No,No,iPhone,8+ hrs,3,Yes,Entertainment,Yes
2025-01-01 01:35:00,student20@example.com,REG202500020,18-20,Male,No,Yes,Yes,No,Android,2-4 hrs,2,Yes,Social Media,Yes
2025-01-01 01:40:00,student21@example.com,REG202500021,21-23,Female,Yes,Yes,Yes,Yes,iPhone,6-8 hrs,5,Yes,Entertainment,Yes
2025-01-01 01:45:00,student22@example.com,REG202500022,24-26,Female,Yes,No,No,No,Android,2-4 hrs,8,Yes,Social Media,Yes
2025-01-01 01:50:00,student23@example.com,REG202500023,24-26,Male,No,Yes,Yes,No,iPhone,4-6 hrs,8,No,Communication,Yes
2025-01-01 01:55:00,student24@example.com,REG202500024,24-26,Male,Yes,No,Yes,Yes,Android,6-8 hrs,5,Yes,Entertainment,Yes
2025-01-01 02:00:00,student25@example.com,REG202500025,24-26,Female,No,Yes,Yes,No,iPhone,2-4 hrs,1,No,Education,No
2025-01-01 02:05:00,student26@example.com,REG202500026,21-23,Female,No,Yes,Yes,Yes,Android,2-4 hrs,6,Yes,Gaming,Yes
2025-01-01 02:10:00,student27@example.com,REG202500027,18-20,Female,No,Yes,No,Yes,Android,2-4 hrs,6,No,Communication,Yes
2025-01-01 02:15:00,student28@example.com,REG202500028,21-23,Male,Yes,No,Yes,Yes,iPhone,8+ hrs,4,No,Education,Yes
2025-01-01 02:20:00,student29@example.com,REG202500029,27-30,Male,No,Yes,Yes,No,iPhone,6-8 hrs,4,Yes,Social Media,Yes
2025-01-01 02:25:00,student30@example.com,REG202500030,27-30,Female,No,Yes,No,No,iPhone,6-8 hrs,1,Yes,Entertainment,Yes
2025-01-01 02:30:00,student31@example.com,REG202500031,24-26,Male,Yes,No,No,No,iPhone,2-4 hrs,7,Yes,Entertainment,Yes
2025-01-01 02:35:00,student32@example.com,REG202500032,27-30,Male,Yes,No,No,Yes,iPhone,6-8 hrs,2,No,Communication,No
2025-01-01 02:40:00,student33@example.com,REG202500033,27-30,Female,No,No,Yes,Yes,iPhone,8+ hrs,3,No,Gaming,Yes
2025-01-01 02:45:00,student34@example.com,REG202500034,24-26,Female,Yes,No,No,No,iPhone,8+ hrs,4,No,Education,Yes
2025-01-01 02:50:00,student35@example.com,REG202500035,24-26,Female,Yes,Yes,No,Yes,Android,4-6 hrs,1,Yes,Education,No
2025-01-01 02:55:00,student36@example.com,REG202500036,18-20,Female,No,Yes,No,No,iPhone,4-6 hrs,3,Yes,Social Media,No
